,0
881,442237.10980406334
882,444382.9598113713
883,447314.3715725611
884,451186.4320447496
885,456238.1677232892
886,462552.69921818166
887,469903.84106500796
888,478096.7299871388
889,486927.93985017296
890,496019.6215888208
891,505216.7462432867
892,514057.77491652785
893,522112.9718379137
894,529061.774001249
895,534769.0061563888
896,539343.2480716583
897,542620.9323095657
898,544637.1069693629
899,545727.964805329
900,546725.1480331104
901,548429.7162599812
902,551308.1460296033
903,555181.9188613455
904,559940.8913306432
905,565229.4868578695
906,570317.0300522833
907,574357.4075337187
908,576855.3191498398
909,578437.196542116
910,579648.792383812
911,581169.6874856221
912,583197.9946398872
913,585942.7925241123
914,589321.0859115383
915,593078.2305216229
916,597061.9214515224
917,601061.4688187747
918,605364.6507887142
919,610077.5282590602
920,615336.2250314475
921,620980.4940528844
922,626693.3858682929
923,632302.1829406023
924,637163.9151546062
925,640992.4736986778
926,643572.3471898073
927,644650.8853650155
928,644209.613881753
929,642568.9493143355
930,640324.7394844288
931,637668.1823288145
932,634742.6532828654
933,631960.9369993486
934,629632.9626831735
935,627727.1882715882
936,626336.51729612
937,625592.5258415554
938,625685.2391782118
939,626515.6505786425
940,627876.3761591283
941,629491.7702488025
942,631149.2809937606
943,632609.466377372
944,633544.7187631978
945,633624.4649285326
946,632710.5918999078
947,630762.2937917864
948,627719.0535037048
949,623602.594439637
950,618543.8263966056
951,612725.4055022568
952,606300.9922521762
953,599418.2808378799
954,592231.2212872725
955,584949.3223363255
956,577790.7895934795
957,570975.8087532668
958,564684.2236032533
959,559069.274877733
960,554301.6455132313
961,550459.3475097483
962,547569.0026977559
963,545616.8782807201
964,544543.3705781307
965,544243.6470846187
966,544554.563001135
967,545322.4893293339
968,546402.4993947847
969,547657.2573578381
970,548991.5513027227
971,550355.402378538
972,551703.589634736
973,553009.4318806618
974,554251.8053713293
975,555437.0731548857
976,556555.2596920701
977,557601.1279610569
978,558543.2521965948
979,559351.6930608631
980,560011.11927241
981,560515.4264238841
982,560872.0866297019
983,561117.2750754397
984,561297.4707840878
985,561443.5053133554
986,561564.2693648796
987,561657.9445787807
988,561690.4672959779
989,561589.929923823
990,561319.861081542
991,560941.2648653822
992,560508.847740788
993,560039.6787888432
994,559575.3283088651
995,559181.8962870637
996,558960.210839346
997,558886.2177659959
998,558897.3405316431
999,558969.9634750638
1000,559081.8380363829
1001,559297.2385733369
1002,559655.4488067803
1003,560117.243770325
1004,560680.5694805095
1005,561323.3639380325
1006,562034.2784451233
1007,562672.0533329182
1008,563079.1151795081
1009,563214.5466475844
1010,563081.8366621663
1011,562724.1249331137
1012,562149.5389597161
1013,561384.9894990489
1014,560473.0202362811
1015,559487.999788775
1016,558477.3769310759
1017,557522.9427262383
1018,556748.8374876019
1019,556255.771216424
1020,556071.3354947314
1021,556190.0237570126
1022,556684.720616064
1023,557514.8703471185
1024,558666.638999045
1025,560042.8212442253
1026,561644.2232908537
1027,563508.3335171184
1028,565537.5189597998
1029,567622.0868471478
1030,569925.1032351126
1031,572854.1351375525
1032,576911.6834603846
1033,582536.8542516382
1034,589922.639579329
1035,599128.0689050582
1036,609551.7254528842
1037,620099.3066791011
1038,629529.5996451826
1039,637000.1077020899
1040,642145.9559215902
1041,644833.6420415426
1042,645230.2770903405
1043,643960.0927484002
1044,641764.2578330307
1045,639177.7408471769
1046,636444.572713016
1047,633374.4337821822
1048,629861.7755928185
1049,625976.4626570024
1050,621534.5329230698
1051,616322.0571385933
1052,610244.8985339658
1053,603748.8048347927
1054,597002.7090636442
1055,590204.4381148388
1056,583861.7941220312
1057,578378.5256644753
1058,574185.5876679813
1059,571693.4061266313
1060,571636.3101109784
1061,574272.0742426241
1062,579472.8427453694
1063,586860.7311195302
1064,595812.0249662822
1065,605054.3726913029
1066,613197.7393210811
1067,619455.2680806076
1068,623629.9134493968
1069,625625.5918861384
1070,625610.5543770193
1071,624289.4438441213
1072,622457.2360817172
1073,620381.9435257611
1074,617927.578055036
1075,615075.672595586
1076,611901.7623740769
1077,608404.7110670125
1078,604503.0619666533
1079,600232.1440731153
1080,595698.5549486261
1081,590991.130135055
1082,586103.6113731486
1083,581133.8315124561
1084,576246.915438118
1085,571586.3112714452
1086,567240.6019706727
1087,563324.933570041
1088,559870.1842674024
1089,556852.754150153
1090,554178.4828257564
1091,551726.5105395367
1092,549389.7557620631
1093,547094.8947363307
1094,544867.1615971137
1095,542721.9039801996
1096,540699.1603287648
1097,538995.7114653377
1098,537824.618651104
1099,537301.361064187
1100,537349.5469952857
1101,537864.8478948671
1102,538713.6240032248
1103,539692.5491291216
1104,540643.7185239153
1105,541447.8999922224
1106,542037.7227553524
1107,542363.7543183711
1108,542398.9385523279
1109,542087.4659826704
1110,541335.816458832
1111,540106.1938988207
1112,538474.673222391
1113,536549.1627615175
1114,534422.4679217107
1115,532143.3003956871
1116,529711.3240109837
1117,527091.5580542699
1118,524208.0305775364
1119,520960.3080889476
1120,517251.29474407923
1121,512995.29624501144
1122,508219.40385223186
1123,502999.2360783771
1124,497398.11464111
1125,491542.4709751045
1126,485594.9321435311
1127,479730.1479179766
1128,474041.71234637796
1129,468572.6727668822
1130,463382.6375543
1131,458501.4370175456
1132,453939.08970172616
1133,449686.99988896906
1134,445736.69966750866
1135,442092.28973567486
1136,438739.335271917
1137,435662.7109382741
1138,432861.5239091423
1139,430336.7100159721
1140,428069.8766878939
1141,426032.35174527083
